assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_003325415.1	PRJNA418064	SAMN08014120	PJQM00000000.1		na		4846	4846	Rhizopus stolonifer	strain=LSU 92-RS-03		latest	Scaffold	Major	Full	2018/07/17	Rstol_CA	University of California, Riverside	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/415/GCA_003325415.1_Rstol_CA	./sec14_genomes_genbank/GCA_003325415.1_Rstol_CA_cds_from_genomic.fna.gz
GCA_001023035.1	PRJNA231623	SAMN03075940	JRVG00000000.1		na		5127	5127	Fusarium fujikuroi	strain=KSU X-10626		latest	Scaffold	Major	Full	2015/06/09	ASM102303v1	University of Milan	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/023/035/GCA_001023035.1_ASM102303v1	./sec14_genomes_genbank/GCA_001023035.1_ASM102303v1_cds_from_genomic.fna.gz
GCA_001023045.1	PRJNA231623	SAMN03075939	JRVF00000000.1		na		5127	5127	Fusarium fujikuroi	strain=FGSC 8932		latest	Scaffold	Major	Full	2015/06/09	ASM102304v1	University of Milan	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/023/045/GCA_001023045.1_ASM102304v1	./sec14_genomes_genbank/GCA_001023045.1_ASM102304v1_cds_from_genomic.fna.gz
GCA_001023065.1	PRJNA231623	SAMN03075941	JRVH00000000.1		na		5127	5127	Fusarium fujikuroi	strain=KSU 3368		latest	Scaffold	Major	Full	2015/06/09	ASM102306v1	University of Milan	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/023/065/GCA_001023065.1_ASM102306v1	./sec14_genomes_genbank/GCA_001023065.1_ASM102306v1_cds_from_genomic.fna.gz
GCA_009663055.1	PRJNA390730	SAMN07249283			na		5127	5127	Fusarium fujikuroi	strain=CSV1		latest	Chromosome	Major	Full	2019/11/14	ASM966305v1	Unito	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/663/055/GCA_009663055.1_ASM966305v1	./sec14_genomes_genbank/GCA_009663055.1_ASM966305v1_cds_from_genomic.fna.gz
GCA_009663095.1	PRJNA390730	SAMN07249282			na		5127	5127	Fusarium fujikuroi	strain=Augusto2		latest	Chromosome	Major	Full	2019/11/14	ASM966309v1	Unito	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/663/095/GCA_009663095.1_ASM966309v1	./sec14_genomes_genbank/GCA_009663095.1_ASM966309v1_cds_from_genomic.fna.gz
GCA_009663115.1	PRJNA390730	SAMN07249281			na		5127	5127	Fusarium fujikuroi	strain=I1.3		latest	Chromosome	Major	Full	2019/11/14	ASM966311v1	Unito	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/663/115/GCA_009663115.1_ASM966311v1	./sec14_genomes_genbank/GCA_009663115.1_ASM966311v1_cds_from_genomic.fna.gz
GCA_900079805.1	PRJEB185	SAMEA3724789			representative genome		1279085	5127	Fusarium fujikuroi IMI 58289	strain=IMI 58289		latest	Chromosome	Major	Full	2013/08/20	Fusarium_fujikuroi_IMI58289_V2	HMGU-IBIS	GCF_900079805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/805/GCA_900079805.1_Fusarium_fujikuroi_IMI58289_V2	./sec14_genomes_genbank/GCA_900079805.1_Fusarium_fujikuroi_IMI58289_V2_cds_from_genomic.fna.gz
GCA_900096505.1	PRJEB14872	SAMEA4436914	FMSL00000000.1		na		5127	5127	Fusarium fujikuroi	strain=B14		latest	Scaffold	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/505/GCA_900096505.1_version_1	./sec14_genomes_genbank/GCA_900096505.1_version_1_cds_from_genomic.fna.gz
GCA_900096605.1	PRJEB14872	SAMEA4440726	FMJS00000000.1		na		5127	5127	Fusarium fujikuroi			latest	Contig	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/605/GCA_900096605.1_version_1	./sec14_genomes_genbank/GCA_900096605.1_version_1_cds_from_genomic.fna.gz
GCA_900096615.1	PRJEB14872	SAMEA4440732	FMJV00000000.1		na		5127	5127	Fusarium fujikuroi	strain=m567		latest	Scaffold	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/615/GCA_900096615.1_version_1	./sec14_genomes_genbank/GCA_900096615.1_version_1_cds_from_genomic.fna.gz
GCA_900096625.1	PRJEB14872	SAMEA4440734	FMJX00000000.1		na		5127	5127	Fusarium fujikuroi	strain=NCIM1100		latest	Scaffold	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/625/GCA_900096625.1_version_1	./sec14_genomes_genbank/GCA_900096625.1_version_1_cds_from_genomic.fna.gz
GCA_900096635.1	PRJEB14872	SAMEA4440733	FMJW00000000.1		na		5127	5127	Fusarium fujikuroi	strain=MRC2276		latest	Scaffold	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/635/GCA_900096635.1_version_1	./sec14_genomes_genbank/GCA_900096635.1_version_1_cds_from_genomic.fna.gz
GCA_900096645.1	PRJEB14872	SAMEA4440729	FMJU00000000.1		na		5127	5127	Fusarium fujikuroi	strain=C1995		latest	Scaffold	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/645/GCA_900096645.1_version_1	./sec14_genomes_genbank/GCA_900096645.1_version_1_cds_from_genomic.fna.gz
GCA_900096685.1	PRJEB14872	SAMEA4440731	FMSM00000000.1		na		5127	5127	Fusarium fujikuroi	strain=FSU48		latest	Scaffold	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/685/GCA_900096685.1_version_1	./sec14_genomes_genbank/GCA_900096685.1_version_1_cds_from_genomic.fna.gz
GCA_900096705.1	PRJEB14872	SAMEA4440730	FMJT00000000.1		na		5127	5127	Fusarium fujikuroi	strain=E282		latest	Scaffold	Major	Full	2017/10/06	version 1	Technische Universitat Munchen - WZW	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/705/GCA_900096705.1_version_1	./sec14_genomes_genbank/GCA_900096705.1_version_1_cds_from_genomic.fna.gz
GCA_000149445.2	PRJNA16373	SAMN02953609	AAFO00000000.1		na		294748	5476	Candida albicans WO-1	strain=WO-1		latest	Chromosome	Major	Full	2009/06/03	ASM14944v2	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/445/GCA_000149445.2_ASM14944v2	./sec14_genomes_genbank/GCA_000149445.2_ASM14944v2_cds_from_genomic.fna.gz
GCA_000182965.3	PRJNA10701	SAMN02953594			representative genome		237561	5476	Candida albicans SC5314	strain=SC5314		latest	Chromosome	Major	Full	2016/10/12	ASM18296v3	Stanford University	GCF_000182965.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/965/GCA_000182965.3_ASM18296v3	./sec14_genomes_genbank/GCA_000182965.3_ASM18296v3_cds_from_genomic.fna.gz
